2025-03-15 14:09:35.698 [info] Reading sessions from keychain...
2025-03-15 14:09:35.698 [info] Getting sessions for all scopes...
2025-03-15 14:09:35.698 [info] Getting sessions for all scopes...
2025-03-15 14:09:35.698 [info] Got 0 sessions for ...
2025-03-15 14:09:35.698 [info] Got 0 sessions for ...
2025-03-15 14:09:35.698 [info] Getting sessions for all scopes...
2025-03-15 14:09:35.698 [info] Got 0 sessions for ...
2025-03-15 14:09:35.698 [info] Getting sessions for all scopes...
2025-03-15 14:09:35.698 [info] Got 0 sessions for ...
2025-03-15 14:09:35.698 [info] Getting sessions for all scopes...
2025-03-15 14:09:35.698 [info] Got 0 sessions for ...
2025-03-15 14:09:35.698 [info] Getting sessions for all scopes...
2025-03-15 14:09:35.698 [info] Got 0 sessions for ...
2025-03-15 14:09:35.698 [info] Getting sessions for all scopes...
2025-03-15 14:09:35.698 [info] Got 0 sessions for ...
2025-03-15 14:09:35.698 [info] Getting sessions for all scopes...
2025-03-15 14:09:35.698 [info] Got 0 sessions for ...
2025-03-15 14:09:36.210 [info] Getting sessions for read:user,repo,user:email,workflow...
2025-03-15 14:09:36.210 [info] Got 0 sessions for read:user,repo,user:email,workflow...
2025-03-15 14:09:36.767 [info] Getting sessions for all scopes...
2025-03-15 14:09:36.767 [info] Got 0 sessions for ...
