[INFO 1:33:02 PM] miguelsolorio.symbols activated
[INFO 1:33:02 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:33:02 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:33:02 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:33:02 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:33:13 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:33:13 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:33:13 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:33:13 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:34:12 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:34:12 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:34:12 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:34:12 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:34:17 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:34:17 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:34:17 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:34:17 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:34:36 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:34:36 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:34:36 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:34:36 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:37:50 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:37:50 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:37:50 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:37:50 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:37:51 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:37:51 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:37:51 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:37:51 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:37:57 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:37:57 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:37:57 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:37:57 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:38:52 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:38:52 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:38:52 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:38:52 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:39:42 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:39:42 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:39:42 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:39:42 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:39:43 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:39:43 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:39:43 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:39:43 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 1:42:17 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 1:42:17 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 1:42:17 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 1:42:17 PM] 🤖 symbols.files.associations changed, updating to undefined
